number,company,symbol,ytd_return
421,Revvity,RVTY,-13.07
422,EOG Resources,EOG,-13.29
423,Brown & Brown,BRO,-13.40
424,HP Inc.,HPQ,-13.41
425,FedEx,FDX,-13.46
426,Amcor,AMCR,-13.55
427,Keurig Dr Pepper,KDP,-13.66
428,Colgate-Palmolive,CL,-13.69
429,Mid-America Apartment Communities,MAA,-13.71
430,Diamondback Energy,FANG,-13.79
431,Verisk Analytics,VRSK,-13.96
432,Skyworks Solutions,SWKS,-13.99
433,Prudential Financial,PRU,-14.06
434,DaVita,DVA,-14.11
435,West Pharmaceutical Services,WST,-14.72
436,AvalonBay Communities,AVB,-14.81
437,Corpay,CPAY,-14.96
438,Targa Resources,TRGP,-15.21
439,Texas Pacific Land Corporation,TPL,-15.21
440,"UDR, Inc.",UDR,-15.84
441,Weyerhaeuser,WY,-15.90
442,Church & Dwight,CHD,-16.13
443,KKR,KKR,-16.19
444,Fidelity National Information Services,FIS,-16.40
445,Viatris,VTRS,-16.67
446,Kraft Heinz,KHC,-16.69
447,LKQ Corporation,LKQ,-16.82
448,Becton Dickinson,BDX,-16.88
449,PG&E Corporation,PCG,-16.98
450,Occidental Petroleum,OXY,-17.35
451,PayPal,PYPL,-18.06
452,Cooper Companies (The),COO,-18.35
453,Old Dominion,ODFL,-18.50
454,Regeneron Pharmaceuticals,REGN,-18.68
455,Molson Coors Beverage Company,TAP,-18.96
456,IDEX Corporation,IEX,-19.08
457,Adobe Inc.,ADBE,-19.60
458,Copart,CPRT,-20.23
459,Akamai Technologies,AKAM,-20.36
460,Comcast,CMCSA,-20.45
461,Zebra Technologies,ZBRA,-20.48
462,Fair Isaac,FICO,-20.85
463,Erie Indemnity,ERIE,-20.87
464,Salesforce,CRM,-21.15
465,Smurfit WestRock,SW,-21.31
466,Bristol Myers Squibb,BMY,-21.65
467,Alexandria Real Estate Equities,ARE,-21.70
468,Global Payments,GPN,-21.90
469,Baxter International,BAX,-22.27
470,International Flavors & Fragrances,IFF,-23.16
471,Hormel Foods,HRL,-23.38
472,General Mills,GIS,-23.77
473,Apollo Global Management,APO,-23.87
474,Brown–Forman,BF.B,-24.97
475,Campbell Soup Company,CPB,-25.82
476,Clorox,CLX,-26.07
477,Charter Communications,CHTR,-26.37
478,Edison International,EIX,-27.04
479,UnitedHealth Group,UNH,-27.38
480,Accenture,ACN,-28.78
481,Chipotle Mexican Grill,CMG,-29.36
482,Kenvue,KVUE,-29.64
483,United Parcel Service,UPS,-30.18
484,Target Corporation,TGT,-30.20
485,ONEOK,OKE,-31.51
486,Molina Healthcare,MOH,-32.10
487,Eastman Chemical Company,EMN,-32.13
488,GoDaddy,GDDY,-32.61
489,Conagra Brands,CAG,-33.10
490,EPAM Systems,EPAM,-34.00
491,Moderna,MRNA,-34.55
492,Align Technology,ALGN,-34.77
493,Constellation Brands,STZ,-36.18
494,Fiserv,FI,-38.58
495,FactSet,FDS,-38.66
496,LyondellBasell,LYB,-38.90
497,Centene Corporation,CNC,-40.30
498,CarMax,KMX,-45.33
499,Dow Inc.,DOW,-45.84
500,Gartner,IT,-46.37
501,Deckers Brands,DECK,-49.24
502,Lululemon Athletica,LULU,-52.43
503,"The Trade Desk, Inc.",TTD,-54.09
